description,category
MEAL DELIVERY AT NORTHSTAR CO INVOICE,Food & Dining
LIGHTHOUSE APRIL PAYMT GROUP RENT OFFICE,Rent
QuickBooks design tool feb manual entry,Software
COBALT svcs broadband bill nov recurrring,Utilities
ADMIN AREA OFFICE CHAIRS FROM KITCHEN SUPPLY STORE,Office Supplies
online pmt for desk accessories may,Office Supplies
parrtner subscription client payment,Income
transfer for taxi ride jan,Transportation
recurring parking garage rental car,Transportation
May Pens And Pencils Refund,Office Supplies
Dropbox - SaaS renewal - card Z6UM,Software
commercial space april payment inv 85dk,Rent
settlement invoice consulting portal from batch income,Income
parking garage car rental bank nov card,Transportation
mailchimp ads campgn monthly ad spend,Marketing
design invoice at payroll provider mobile pay,Professional Services
POS for electric bill oct,Utilities
client materials replacement parts from Walmart,Shopping
jan monthly lease bank card,Rent
IT SUPPORT - LEGAL CONSULTATION - ORDER 748212,Professional Services
HARBOR MARKET ACCOUNT PAYMENT PAYMENT UTILITY,Utilities
rfeund for monthly lease mar,Rent
SUBSCRIPTION MARKETING SOLUTIONS HARBOR EMAIL,Marketing
SETTLEMENT PAYMENT PROJECT MILESTONE SPONSOR BATCH FROM,Income
harbr co manual entry project inv,Professional Services
online payment for parking fee oct,Transportation
card purchase for client diner apr,Food & Dining
Late Snacks Doordash From Meeting Office,Food & Dining
Target POS for office setup,Shopping
Google Ads - email marketing - ref 7P13VFJ,Marketing
DESIGN INVOICE AT BUSINESS CONSULTANT BANK CARD,Professional Services
summit services - lead geneartion - txn 881547,Marketing
notebooks printer room ref t0u1m8o,Office Supplies
refund for pens and pencils nov,Office Supplies
subs spuport contract,Professional Services
redwood partners recurring pro account,Software
Card Purchase For Jan Internet Service,Utilities
client project it support from law firm,Professional Services
Hr Adviisor Contract Consultant Support Fee,Professional Services
account pmt internet service from gas company,Utilities
mo from retainer market summit advisro fee,Professional Services
crm sw slack transfer at,Software
Audience Marketing Test From Trade Email Show,Marketing
commercial lease subscription suite charge,Rent
deposit received at Cobalt Market online paymt,Income
Jun Design Invoice Online Pmt,Professional Services
CRM online Cleraview payment at Solutions software,Software
Business From Svcs Fee Northstar Parking Travel,Transportation
ACH electric company internet service,Utilities
electronics general purchase card 90814,Shopping
WORKSPACE BILLING CRM SOFTWARE FROM BLUEBIRD SYSTEMS,Software
service period trash pickup from trash service,Utilities
mobile pay for rental car jan,Transportation
Customer Transfer May Product Sale,Income
replacement parts at Target bank card,Shopping
studio rent landlord today due storage unit,Rent
metro llc catering order mar POS,Food & Dining
POS LinkedIn Ads lead genertion,Marketing
team lunch after sales call card JHUR,Food & Dining
invoice Cobalt Partners seervice revenue,Income
subscription wrkspace renewal,Software
monthly aws bill cloud,Software
consulting fee at it support card purchase,Professional Services
subs support contract,Professional Services
store pickup at marketplace seller online payment,Shopping
mobile pay for IT support sep,Professional Services
office chairs area XT9GW50 admin auth,Office Supplies
paid inv monthly retianer income from harbor co,Income
cliet meeting inv dinner late tqso,Food & Dining
northstar systems - storage unit rent - inv km9x9e82,Rent
WALMART STORE PICKUP FEB POS,Shopping
UBER AIPRORT RIDE,Transportation
Due Today Coworking Rent From Coworking Space,Rent
card purchase for invoice payment received nov,Income
LEASE INVOICE OFFICE LEASE FROM METRO MARKET,Rent
desk store desk accessories dec online payment,Office Supplies
space SOLID from OAK GROUP commercial rental space,Rent
Local Store Retail Purchase For Office Setup,Shopping
quick Lighthouse Co run parts from replacement,Shopping
Prnter Ink And Paper,Office Supplies
transfer design brand Meta,Marketing
electronics at Etsy subscription,Shopping
invoice from property account,Rent
refund office landlord commercial space,Rent
manual entry web developer compliance review,Professional Services
subscription for compliance review feb,Professional Services
bluebird sponsored subscription servvices post,Marketing
traansfer account to toll,Transportation
Office Office Card Purchase Sep Rent Landlord,Rent
POWER SERVICE ONLINE PAYMENT MONTHLY OFFICE BILL,Utilities
Oct Monitor Stan Invoice,Office Supplies
MANUAL ENTRY LOCAL CAFE CATERING ORDER,Food & Dining
parking fee client visit batch 549251,Transportation
online payment parts Market Bluebird replacement,Shopping
METRO SALE GROUP PRODUCT DEPOSIT REVENUE,Income
Silverlie Services - airport ride - order 81HRULH,Transportation
parking fee at ATLASS SERVICES refund,Transportation
cloud bill workspace billing auth 744D,Software
online payment for desk accessories apr,Office Supplies
airport trip gas fill up from Lighthouse Co,Transportation
Office Rent Space Rental Order 500317,Rent
redwood market content marketing jan mobile pay,Marketing
Crm Software Cloud Usage Card 224095,Software
PPC campaign audience test txn 357640,Marketing
refund from payout sale marketplace,Income
gas company phone plan oct transfer,Utilities
retainer client subscription revenue jan online payment,Income
Clearview Group content marketing jan refund,Marketing
paid Ads at recurring Google promotion,Marketing
marketplace payout manual entry client payment,Income
seat renewal productivity app from Figma,Software
subscriptio workspace renewal,Software
metro sytems invoice payment received may subscription,Income
business travel gas fill up from Uber,Transportation
Automatic Debit Broadband Bill From Power Service,Utilities
POS toner refill and notebooks,Office Supplies
PRODUCTIVITY APP AT MICROSOFT 365 MANUAL ENTRY,Software
ACH HARBOR PARTNERS monitor stand,Office Supplies
loocal cafe client dinner pos oct,Food & Dining
TAXI RIDE AT TAXI SERVICE RECURRING,Transportation
electric bill pmt at online hub silverlline,Utilities
card car desk purchase ride rental taxi,Transportation
office rent at parking space owner online paymt,Rent
General Purchase Bulk Order From Cobalt Co,Shopping
broadabnd bill at atlas co subscription,Utilities
printer cabinet supply ACH supplier,Office Supplies
invoice portal card purchase incoming transfer,Income
refund for waater bill jan,Utilities
Evergreen Co Desk Accessories Feb Ach,Office Supplies
refund for electronics sep,Shopping
project milestone payment at COBALT MARKET manual entry,Income
Nov Payroll Service Ach,Professional Services
mobile svcs pay accounting dec for,Professional Services
Notebooks At Kitchen Supply Store Pos,Office Supplies
sponsorship platfrm audience paid promotion test,Marketing
course platform - subscription revenue - auth GYBEXDRP,Income
wholesale buyer mo retainer income incoming transfer,Income
trash pickup late fee included order 9mh4q,Utilities
northstar cloud pro bill solutions account,Software
solid oak hub flyer printing audience test,Marketing
Redwood Market rental car business travel,Transportation
IT support design invoice oct POS,Professional Services
redwood solutions recurring lease invoice,Rent
Rental Property Office Lease Mar Refund,Rent
client invoice received pamyent,Income
misc 7zvky supplies general ref purchase,Shopping
monthly office bill service charge from redwood co,Utilities
Crm Sw At Brightline Group Recurring,Software
Metro - LF1HGN1 services Systmes accounting - auth,Professional Services
onlinee oct supplies cleaning for payment,Office Supplies
mar warehouse rent bank card,Rent
monthly lease payment gsuwg6 ref monthly,Rent
facility rent april payment ref 433126,Rent
STORE PICKUP CLIENT MATERIALS AUTH 107355,Shopping
retargeting email marketing from lighthouse co,Marketing
jan breakfast invoice meeting,Food & Dining
transfer post sponored for,Marketing
LIGHTHOUSE SOLUTIONS electronics nov refund,Shopping
Invoice Apr For Rent Office,Rent
metro purchase elcetronics general solutions,Shopping
ink cartridges staff supplies txn GEIEZY,Office Supplies
Feb Meal Delivery Card Purchase,Food & Dining
parking space ACH owner suite charge,Rent
toll payment airport trip ref 982600,Transportation
deposit received at wholesale buyer online payment,Income
card purchase for office chairs nov,Office Supplies
kitchen supply store - cleaning supplies - card 798345,Office Supplies
AWS billing workspace charge hosting,Software
SaaS order renewal billing 378392 workspace,Software
Refund For Storage Unit Rent May,Rent
Transfer For Working Lunch Dec,Food & Dining
card purchase at station kiosk,Transportation
recurring gas company utility pmt,Utilities
Amazon pay checkout feb mobile,Shopping
Invoice Atlas Services Hosting Charge,Software
ikea - bulk order - txn 132113,Shopping
refund for brand design mar,Marketing
MONTHLY PLAN HOSTING CHARGE FROM MICROSOFT 365,Software
Team Lunch With Client Card 961040,Food & Dining
DoorDash staff event delivery meal,Food & Dining
Paid Invoice Meta Campagin,Marketing
Storage Ach Dec Coworking Facility Rent,Rent
campaign invoice content marketing from HubSpot,Marketing
Quickbooks - Productivity App - Card 717597,Software
Staff Summit Event Catering Order Systems From,Food & Dining
GitHub productivity app may card purchase,Software
office meeting N6V3 txn for snacks team,Food & Dining
Mar Phone Plan Recurring,Utilities
apr bus pass invoice,Transportation
desk sep accessories store desk manual entry,Office Supplies
payroll service professional fee card 5XUCU7TA,Professional Services
pos cobalt llc working lunch,Food & Dining
ACH feb for printre paper,Office Supplies
lead generation at Lighthouse Partners card purchase,Marketing
oct PPC campaign online pmt,Marketing
water bill transfer REDWOOD at GROUP,Utilities
nov tax preparation ACH,Professional Services
jan advisor fee refund,Professional Services
transfer for phone plan jun,Utilities
utility automatic pmt card debit JXI6,Utilities
coworking rent at rental property invoice,Rent
mar gas ach utility charge,Utilities
SILVERLINE SYSTEMS - BULK ORDER - REF Z906GNHH,Shopping
parking space owner warehouse rent sep invoice,Rent
project invoice advisor fee from law firm,Professional Services
office lease payment april,Rent
Affiliate Network - Inv Payment Received - Ref 6Pvrtj6,Income
Sponsorship Platform - Brand Design - Ref 705768,Marketing
Shell client commute business travel,Transportation
Stalpes area POS admin,Office Supplies
SOLID OAK PARTNERS misc supplies small equipment,Shopping
transfer for SaaS renewal apr,Software
staff event office snacks from LIGHTHOUSE CO,Food & Dining
facebook campaign ads jan transfer ads,Marketing
bulk order client materials inv 875190,Shopping
REEFUND FROM UTILITY PROVIDER,Utilities
stapls notebooks staff supplies,Office Supplies
Riverstone Systems - It Support - Txn 3Cq1Dq9,Professional Services
Late Fee Included Electric Bill From Electric Company,Utilities
warehouse owner monthly lease due today,Rent
Electronics Txn Btgdj Quick Run,Shopping
lease invoice office rent from cworking space,Rent
monthly solutions fee brightline retainer advisor from,Professional Services
lighthouse llc - paid promotion - auth 0bv6su,Marketing
card internet service purchase mar for,Utilities
hubspot email marketing retargeting,Marketing
electric bill at fibr provider transfer,Utilities
retainer client - deposit received - ref Y56Y9RR,Income
meta - social medi ads - ref qsxj2j,Marketing
Sub Oct For Income Mo Retainer,Income
Shell airport ride oct online payment,Transportation
Summit sep cloud refund bill Systems,Software
